Number=Sing,singular,sing.,sing,first singular,second singular,third singular
Number=Plur,plural,﻿plur.,plur,first plural,second plural,third plural
Polite=Pol,polite,formal,,,,
AdpType=Prep,preposition,,,,,
AdpType=Post,postposition,,,,,
AdpType=Circ,circumposition,,,,,
AdpType=Voc,vocalized preposition,,,,,
AdvType=Man,adverb of manner ,,,,,
AdvType=Loc,adverb of location ,,,,,
AdvType=Tim,adverb of time ,,,,,
AdvType=Deg,adverb of quantity or degree ,,,,,
AdvType=Cau,adverb of cause ,,,,,
AdvType=Mod,adverb of modal nature,,,,,
AdvType=Sta,adverb of state,,,,,
AdvType=Ex,existential “there” in english,,,,,
AdvType=Adadj,ad-adjective in finnish,,,,,
Animacy=Anim,animate,,,,,
Animacy=Inan,inanimate,,,,,
Animacy=Hum,human,,,,,
Animacy=Nhum,non-human,,,,,
Aspect=Imp,imperfect,imperfect aspect,,,,
Aspect=Perf,perfect aspect,perfect,,,,
Aspect=Prosp,prospective aspect,prospective,,,,
Aspect=Prog,progressive aspect,progressive,,,,
Aspect=Hab,habitual aspect,habitual,,,,
Aspect=Iter,iterative aspect,iterative,,,,
Case=Nom,nominative,frequentative,,,,
Case=Acc,accusative,oblique,,,,
Case=Abs,absolutive,absolute,,,,
Case=Erg,ergative,,,,,
Case=Dat,dative,,,,,
Case=Gen,genitive,,,,,
Case=Voc,vocative,,,,,
Case=Loc,locative,,,,,
Case=Ins,instrumental,instructive,,,,
Case=Par,partitive,,,,,
Case=Dis,distributive,,,,,
Case=Ess,essive,prolative,,,,
Case=Tra,translative,factive,,,,
Case=Com,comitative,associative,,,,
Case=Abe,abessive,,,,,
Case=Ine,inessive,,,,,
Case=Ill,illative,,,,,
Case=Ela,elative,,,,,
Case=Add,additive,,,,,
Case=Ade,adessive,,,,,
Case=All,allative,,,,,
Case=Abl,ablative,,,,,
Case=Sup,superessive,,,,,
Case=Sub,sublative,,,,,
Case=Del,delative,,,,,
Case=Lat,lative,directional allative,,,,
Case=Per,perlative,,,,,
Case=Tem,temporal,,,,,
Case=Ter,terminative,terminal allative,,,,
Case=Cau,causative,purposive,motivative,,,
Case=Ben,benefactive,destinative,,,,
Case=Cns,considerative,,,,,
Case=Cmp,comparative,,,,,
Case=Equ,equative,,,,,
Clusivity=In,inclusive,,,,,
Clusivity=Ex,exclusive,,,,,
ConjType=Comp,comparing conjunction,,,,,
ConjType=Oper,mathematical operator,,,,,
Definite=Ind,indefinite,,,,,
Definite=Spec,specific indefinite,,,,,
Definite=Def,definite,,,,,
Definite=Cons,construct state,reduced definiteness,,,,
Definite=Com,complex,,,,,
Degree=Pos,positive,,,,,
Degree=Equ,equative,,,,,
Degree=Cmp,comparative,,,,,
Degree=Sup,superlative,,,,,
Degree=Abs,absolute superlative,,,,,
Echo=Rdp,reduplicative,,,,,
Echo=Ech,echo,,,,,
Evident=Fh,firsthand,,,,,
Evident=Nfh,non-firsthand,,,,,
Foreign=Yes,it is foreign,,,,,
Gender=Masc,masculine gender,m.,m,,,
Gender=Fem,feminine gender,f.,f,,,
Gender=Neut,neuter gender,n.,n,,,
Gender=Com,common gender,,,,,
Hyph=Yes,hyphenated,,,,,
Mood=Ind,indicative,,,,,
Mood=Imp,imperative,,,,,
Mood=Cnd,conditional,,,,,
Mood=Pot,potential,,,,,
Mood=Sub,subjunctive,conjunctive,,,,
Mood=Jus,jussive,injunctive,,,,
Mood=Prp,purposive,,,,,
Mood=Qot,quotative,,,,,
Mood=Opt,optative,,,,,
Mood=Des,desiderative,,,,,
Mood=Nec,necessitative,,,,,
Mood=Adm,admirative,,,,,
NameType=Geo,geographical name,,,,,
NameType=Prs,name of person,,,,,
NameType=Giv,given name of person,,,,,
NameType=Sur,surname,,,,,
NameType=Nat,nationality,,,,,
NameType=Com,company,organization,,,,
NameType=Pro,product,,,,,
NameType=Oth,other,,,,,
NumForm=Word,number expressed as word,,,,,
NumForm=Digit,number expressed using digits,,,,,
NumForm=Roman,roman numeral,,,,,
NumType=Card,cardinal number ,,,,,
NumType=Ord,ordinal number,,,,,
NumType=Mult,multiplicative numeral,,,,,
NumType=Frac,fraction,,,,,
NumType=Sets,collective numeral,,,,,
NumType=Dist,distributive numeral,,,,,
NumType=Range,range of values,,,,,
NumValue=1,numeric value 1,,,,,
NumValue=2,numeric value 2,,,,,
NumValue=3,numeric value 3 or 4,,,,,
Number=Dual,dual number,dual,,,,
Number=Tri,trial number,trial,,,,
Number=Pauc,paucal number,paucal,,,,
Number=Grpa,greater paucal number,,,,,
Number=Grpl,greater plural number,,,,,
Number=Inv,inverse number,inverse,,,,
Number=Ptan,plurale tantum,,,,,
Number=Coll,collective,mass,singulare tantum,,,
PartType=Mod,modal particle,,,,,
PartType=Emp,particle of emphasis,,,,,
PartType=Res,particle of response,,,,,
PartType=Inf,infinitive marker,,,,,
PartType=Vbp,separated verb prefix in german,,,,,
Person=0,zero person,,,,,
Person=1,first person,first,1st,first singular,first plural,1 person
Person=2,second person,second,2nd,second singular,second plural,2 person
Person=3,third person,third,3rd,third singular,third plural,3 person
Person=4,fourth person,fourth,4th,,,
Polarity=Pos,positive,affirmative,,,,
Polarity=Neg,negative,,,,,
Polite=Infm,informal register,,,,,
Polite=Form,formal register,,,,,
Polite=Elev,referent elevating,,,,,
Polite=Humb,speaker humbling,,,,,
Poss=Yes,it is possessive,,,,,
PossGender=Masc,masculine possessor,,,,,
PossGender=Fem,feminine possessor,,,,,
PossNumber=Sing,singular possessor,,,,,
PossNumber=Plur,plural possessor,,,,,
PossPerson=1,first person possessor,,,,,
PossPerson=2,second person possessor,,,,,
PossPerson=3,third person possessor,,,,,
PossedNumber=Sing,singular possession,,,,,
PossedNumber=Plur,plural possession,,,,,
Prefix=Yes,prefix,,,,,
PrepCase=Npr,non-prepositional case,,,,,
PrepCase=Pre,prepositional case,,,,,
PronType=Prs,personal pronoun,possessive personal pronoun,personal determiner,possessive personal determiner,,
PronType=Rcp,reciprocal pronoun,,,,,
PronType=Art,article,,,,,
PronType=Int,interrogative pronoun,interrogative determiner,interrogative numeral,interrogative adverb,,
PronType=Rel,relative pronoun,relative determiner,relative numeral,relative adverb,,
PronType=Exc,exclamative determiner,,,,,
PronType=Dem,demonstrative pronoun,demonstrative determiner,demonstrative numeral,demonstrative adverb,,
PronType=Emp,emphatic determiner,,,,,
PronType=Tot,total pronoun,total determiner,total adverb,,,
PronType=Neg,negative pronoun,negative determiner,negative adverb,,,
PronType=Ind,indefinite pronoun,indefinite determiner,indefinite adverb,indefinite numeral,,
PunctSide=Ini,initial ,,,,,
PunctSide=Fin,final ,,,,,
PunctType=Peri,period,,,,,
PunctType=Qest,question mark,,,,,
PunctType=Excl,exclamation mark,,,,,
PunctType=Quot,quotation marks ,,,,,
PunctType=Brck,bracket,,,,,
PunctType=Comm,comma,,,,,
PunctType=Colo,colon,,,,,
PunctType=Semi,semicolon,,,,,
PunctType=Dash,dash,hyphen,,,,
PunctType=Symb,symbol,,,,,
Reflex=Yes,it is reflexive,,,,,
Style=Arch,archaic,obsolete,,,,
Style=Rare,rare,,,,,
Style=Form,formal,literary,,,,
Style=Poet,poetic,,,,,
Style=Norm,normal,neutral,,,,
Style=Coll,colloquial,,,,,
Style=Vrnc,vernacular,,,,,
Style=Slng,slang,,,,,
Style=Expr,expressive,emotional,,,,
Style=Derg,derogative,,,,,
Style=Vulg,vulgar,,,,,
Subcat=Intr,intransitive verb,monovalent,,,,
Subcat=Tran,transitive verb,bivalent,,,,
Tense=Past,past,preterite,aorist,past participle,,
Tense=Pres,present,,,,,
Tense=Fut,future,,,,,
Tense=Imp,imperfect,,,,,
Tense=Pqp,pluperfect,,,,,
Typo=Yes,it is typo,,,,,
VerbForm=Fin,finite,,,,,
VerbForm=Inf,infinitive,,,,,
VerbForm=Sup,supine,,,,,
VerbForm=Part,participle,verbal adjective,verbal,past participle,,
VerbForm=Conv,converb,transgressive,adverbial participle,verbal adverb,,
VerbForm=Gdv,gerundive,,,,,
VerbForm=Ger,gerund,,,,,
VerbForm=Vnoun,verbal noun,masdar,,,,
VerbType=Aux,auxiliary,,,,,
VerbType=Cop,copula,,,,,
VerbType=Mod,modal,,,,,
VerbType=Light,light,,,,,
Voice=Act,active,,,,,
Voice=Mid,middle,,,,,
Voice=Pass,passive,,,,,
Voice=Antip,antipassive,,,,,
Voice=Dir,direct,,,,,
Voice=Inv,inverse,,,,,
Voice=Rcp,reciprocal,,,,,
Voice=Cau,causative,,,,,
